Produto,Quantidade,Categoria,Valor,Marca
Arroz integral,6,Alimento,18.41,Alufood
Fone de ouvido,8,Eletrônico,144.78,Alushop
Sabonete antiacne,3,Higiene,3.59,L'Alura
Notebook com SSD,17,Eletrônico,1406.6,Alushop
Feijão vermelho,17,Alimento,18.32,Alufood
Condicionador,19,Higiene,8.54,L'Alura
Arroz integral,9,Alimento,17.88,Alufood
Mousepad 23x16 cm,15,Eletrônico,12.0,Alushop
Fone de ouvido,20,Eletrônico,169.75,Alushop
Molho de tomate,19,Alimento,2.59,Alufood
Fone de ouvido,9,Eletrônico,159.38,Alushop
Feijão vermelho,20,Alimento,17.2,Alufood
Fone de ouvido,8,Eletrônico,178.86,Alushop
Fone de ouvido,7,Eletrônico,135.33,Alushop
Molho de tomate,7,Alimento,2.67,Alufood
Condicionador,9,Higiene,8.05,L'Alura
Headset,13,Eletrônico,442.69,Alushop
Condicionador,12,Higiene,9.5,L'Alura
Fio dental,1,Higiene,6.1,L'Alura
Creme dental 70g,1,Higiene,3.45,L'Alura
Feijão vermelho,18,Alimento,15.97,Alufood
Feijão vermelho,7,Alimento,16.07,Alufood
Feijão vermelho,9,Alimento,16.25,Alufood
Arroz integral,17,Alimento,19.11,Alufood
Molho de tomate,2,Alimento,2.74,Alufood
Fio dental,1,Higiene,5.5,L'Alura
Condicionador,20,Higiene,7.8,L'Alura
Mousepad 23x16 cm,19,Eletrônico,10.75,Alushop
Arroz integral,19,Alimento,14.51,Alufood
Fone de ouvido,18,Eletrônico,170.42,Alushop
Mouse sem fio,15,Eletrônico,86.11,Alushop
Fio dental,9,Higiene,5.17,L'Alura
Sabonete antiacne,6,Higiene,3.9,L'Alura
Shampoo anticaspa,9,Higiene,11.72,L'Alura
Arroz integral,9,Alimento,18.68,Alufood
Molho de tomate,15,Alimento,2.96,Alufood
Feijão vermelho,17,Alimento,16.69,Alufood
Arroz integral,3,Alimento,14.51,Alufood
Mouse sem fio,9,Eletrônico,81.1,Alushop
Cotonete 75 un,18,Higiene,2.77,L'Alura
Fio dental,13,Higiene,5.59,L'Alura
Shampoo anticaspa,14,Higiene,12.75,L'Alura
Shampoo anticaspa,9,Higiene,9.88,L'Alura
Feijão vermelho,19,Alimento,15.96,Alufood
Headset,2,Eletrônico,362.66,Alushop
Headset,20,Eletrônico,432.74,Alushop
Macarrão parafuso,4,Alimento,5.26,Alufood
Headset,2,Eletrônico,373.21,Alushop
Cotonete 75 un,16,Higiene,3.44,L'Alura
Molho de tomate,9,Alimento,2.95,Alufood
